Category,School,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout
All Students,BRONX INTERNATIONAL HIGH SCHOOL,2016,4 year June,98,83,85,83,85,100,0,0,0,13,13,1,1
Female,BRONX INTERNATIONAL HIGH SCHOOL,2016,4 year June,45,39,87,39,87,100,0,0,0,5,11,0,0
Male,BRONX INTERNATIONAL HIGH SCHOOL,2016,4 year June,53,44,83,44,83,100,0,0,0,8,15,1,2
Not SWD,BRONX INTERNATIONAL HIGH SCHOOL,2016,4 year June,94, , , , , ,0,0,0, , , , 
SWD,BRONX INTERNATIONAL HIGH SCHOOL,2016,4 year June,4, , , , , ,0,0,0, , , , 
Asian,BRONX INTERNATIONAL HIGH SCHOOL,2016,4 year June,6, ,, ,,,,,, , , , 
Black,BRONX INTERNATIONAL HIGH SCHOOL,2016,4 year June,10,10,100,10,100,100,0,0,0,0,0,0,0
Hispanic,BRONX INTERNATIONAL HIGH SCHOOL,2016,4 year June,79,64,81,64,81,100,0,0,0,13,16,1,1
White,BRONX INTERNATIONAL HIGH SCHOOL,2016,4 year June,3, , , , , , , , ,  , , , 
Econ Disadv,BRONX INTERNATIONAL HIGH SCHOOL,2016,5 year June,92,78,85,78,85,100,0,0,0,12,13,1,1
Not Econ Disadv,BRONX INTERNATIONAL HIGH SCHOOL,2016,6 year June,6,5,83,5,83,100,0,0,0,1,17,0,0
ELL,BRONX INTERNATIONAL HIGH SCHOOL,2016,4 year June,82,67,82,67,82,100,0,0,0,13,16,1,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
