,Subgroup,Total,GRAD RATE,GRAD RATE,REGENTS WITH ADVANCED DESIGNATION,REGENTS WITH ADVANCED DESIGNATION,REGENTS DIPLOMA,REGENTS DIPLOMA,LOCAL DIPLOMA,LOCAL DIPLOMA,NON DIPLOMA CRED,NON DIPLOMA CRED,STILL ENROLLED,STILL ENROLLED,GED TRANSFER,GED TRANSFER,DROPOUT,DROPOUT
,Subgroup,Total,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%
0,All Students,79,73,92%,0,0%,73,92%,0,0%,0,0%,6,8%,0,0%,0,0%
1,Female,37,35,95%,0,0%,35,95%,0,0%,0,0%,2,5%,0,0%,0,0%
2,Male,42,38,90%,0,0%,38,90%,0,0%,0,0%,4,10%,0,0%,0,0%
3,General Education Students,65,60,92%,0,0%,60,92%,0,0%,0,0%,5,8%,0,0%,0,0%
4,Students with Disabilities,14,13,93%,0,0%,13,93%,0,0%,0,0%,1,7%,0,0%,0,0%
5,American Indian or Alaska Native,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
6,Asian or Native Hawaiian/Other Pacific Islander,9,9,100%,0,0%,9,100%,0,0%,0,0%,0,0%,0,0%,0,0%
7,Black or African American,13,12,92%,0,0%,12,92%,0,0%,0,0%,1,8%,0,0%,0,0%
8,Hispanic or Latino,48,44,92%,0,0%,44,92%,0,0%,0,0%,4,8%,0,0%,0,0%
9,White,7,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10,Multiracial,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
11,Economically Disadvantaged,55,50,91%,0,0%,50,91%,0,0%,0,0%,5,9%,0,0%,0,0%
12,Not Economically Disadvantaged,24,23,96%,0,0%,23,96%,0,0%,0,0%,1,4%,0,0%,0,0%
13,English Language Learner,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
14,Non-English Language Learner,78,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
15,In Foster Care,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
16,Not in Foster Care,79,73,92%,0,0%,73,92%,0,0%,0,0%,6,8%,0,0%,0,0%
17,Homeless,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
18,Not Homeless,75,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
19,Migrant,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
20,Not Migrant,79,73,92%,0,0%,73,92%,0,0%,0,0%,6,8%,0,0%,0,0%
21,Parent in Armed Forces,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
22,Parent Not in Armed Forces,79,73,92%,0,0%,73,92%,0,0%,0,0%,6,8%,0,0%,0,0%
