,Subgroup,Total,GRAD RATE,GRAD RATE,REGENTS WITH ADVANCED DESIGNATION,REGENTS WITH ADVANCED DESIGNATION,REGENTS DIPLOMA,REGENTS DIPLOMA,LOCAL DIPLOMA,LOCAL DIPLOMA,NON DIPLOMA CRED,NON DIPLOMA CRED,STILL ENROLLED,STILL ENROLLED,GED TRANSFER,GED TRANSFER,DROPOUT,DROPOUT
,Subgroup,Total,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%
0,All Students,108,96,89%,0,0%,96,89%,0,0%,0,0%,11,10%,0,0%,1,1%
1,Female,57,49,86%,0,0%,49,86%,0,0%,0,0%,7,12%,0,0%,1,2%
2,Male,51,47,92%,0,0%,47,92%,0,0%,0,0%,4,8%,0,0%,0,0%
3,General Education Students,80,72,90%,0,0%,72,90%,0,0%,0,0%,8,10%,0,0%,0,0%
4,Students with Disabilities,28,24,86%,0,0%,24,86%,0,0%,0,0%,3,11%,0,0%,1,4%
5,American Indian or Alaska Native,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
6,Asian or Native Hawaiian/Other Pacific Islander,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
7,Black or African American,21,16,76%,0,0%,16,76%,0,0%,0,0%,5,24%,0,0%,0,0%
8,Hispanic or Latino,51,46,90%,0,0%,46,90%,0,0%,0,0%,5,10%,0,0%,0,0%
9,White,28,26,93%,0,0%,26,93%,0,0%,0,0%,1,4%,0,0%,1,4%
10,Multiracial,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
11,Economically Disadvantaged,64,59,92%,0,0%,59,92%,0,0%,0,0%,5,8%,0,0%,0,0%
12,Not Economically Disadvantaged,44,37,84%,0,0%,37,84%,0,0%,0,0%,6,14%,0,0%,1,2%
13,English Language Learner,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
14,Non-English Language Learner,104,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
15,In Foster Care,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
16,Not in Foster Care,108,96,89%,0,0%,96,89%,0,0%,0,0%,11,10%,0,0%,1,1%
17,Homeless,7,6,86%,0,0%,6,86%,0,0%,0,0%,1,14%,0,0%,0,0%
18,Not Homeless,101,90,89%,0,0%,90,89%,0,0%,0,0%,10,10%,0,0%,1,1%
19,Migrant,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
20,Not Migrant,108,96,89%,0,0%,96,89%,0,0%,0,0%,11,10%,0,0%,1,1%
21,Parent in Armed Forces,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
22,Parent Not in Armed Forces,108,96,89%,0,0%,96,89%,0,0%,0,0%,11,10%,0,0%,1,1%
