,Subgroup,Total,GRAD RATE,GRAD RATE,REGENTS WITH ADVANCED DESIGNATION,REGENTS WITH ADVANCED DESIGNATION,REGENTS DIPLOMA,REGENTS DIPLOMA,LOCAL DIPLOMA,LOCAL DIPLOMA,NON DIPLOMA CRED,NON DIPLOMA CRED,STILL ENROLLED,STILL ENROLLED,GED TRANSFER,GED TRANSFER,DROPOUT,DROPOUT
,Subgroup,Total,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%
0,All Students,69,64,93%,0,0%,64,93%,0,0%,0,0%,5,7%,0,0%,0,0%
1,Female,46,43,93%,0,0%,43,93%,0,0%,0,0%,3,7%,0,0%,0,0%
2,Male,23,21,91%,0,0%,21,91%,0,0%,0,0%,2,9%,0,0%,0,0%
3,General Education Students,56,52,93%,0,0%,52,93%,0,0%,0,0%,4,7%,0,0%,0,0%
4,Students with Disabilities,13,12,92%,0,0%,12,92%,0,0%,0,0%,1,8%,0,0%,0,0%
5,American Indian or Alaska Native,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
6,Asian or Native Hawaiian/Other Pacific Islander,6,4,67%,0,0%,4,67%,0,0%,0,0%,2,33%,0,0%,0,0%
7,Black or African American,14,13,93%,0,0%,13,93%,0,0%,0,0%,1,7%,0,0%,0,0%
8,Hispanic or Latino,39,37,95%,0,0%,37,95%,0,0%,0,0%,2,5%,0,0%,0,0%
9,White,5,5,100%,0,0%,5,100%,0,0%,0,0%,0,0%,0,0%,0,0%
10,Multiracial,3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
11,Economically Disadvantaged,60,56,93%,0,0%,56,93%,0,0%,0,0%,4,7%,0,0%,0,0%
12,Not Economically Disadvantaged,9,8,89%,0,0%,8,89%,0,0%,0,0%,1,11%,0,0%,0,0%
13,English Language Learner,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
14,Non-English Language Learner,69,64,93%,0,0%,64,93%,0,0%,0,0%,5,7%,0,0%,0,0%
15,In Foster Care,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
16,Not in Foster Care,68,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
17,Homeless,17,15,88%,0,0%,15,88%,0,0%,0,0%,2,12%,0,0%,0,0%
18,Not Homeless,52,49,94%,0,0%,49,94%,0,0%,0,0%,3,6%,0,0%,0,0%
19,Migrant,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
20,Not Migrant,69,64,93%,0,0%,64,93%,0,0%,0,0%,5,7%,0,0%,0,0%
21,Parent in Armed Forces,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
22,Parent Not in Armed Forces,69,64,93%,0,0%,64,93%,0,0%,0,0%,5,7%,0,0%,0,0%
