,Subgroup,Total,GRAD RATE,GRAD RATE,REGENTS WITH ADVANCED DESIGNATION,REGENTS WITH ADVANCED DESIGNATION,REGENTS DIPLOMA,REGENTS DIPLOMA,LOCAL DIPLOMA,LOCAL DIPLOMA,NON DIPLOMA CRED,NON DIPLOMA CRED,STILL ENROLLED,STILL ENROLLED,GED TRANSFER,GED TRANSFER,DROPOUT,DROPOUT
,Subgroup,Total,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%
0,All Students,73,59,81%,0,0%,59,81%,0,0%,0,0%,11,15%,0,0%,3,4%
1,Female,42,33,79%,0,0%,33,79%,0,0%,0,0%,6,14%,0,0%,3,7%
2,Male,31,26,84%,0,0%,26,84%,0,0%,0,0%,5,16%,0,0%,0,0%
3,General Education Students,54,46,85%,0,0%,46,85%,0,0%,0,0%,6,11%,0,0%,2,4%
4,Students with Disabilities,19,13,68%,0,0%,13,68%,0,0%,0,0%,5,26%,0,0%,1,5%
5,American Indian or Alaska Native,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
6,Asian or Native Hawaiian/Other Pacific Islander,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
7,Black or African American,21,17,81%,0,0%,17,81%,0,0%,0,0%,4,19%,0,0%,0,0%
8,Hispanic or Latino,45,35,78%,0,0%,35,78%,0,0%,0,0%,7,16%,0,0%,3,7%
9,White,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10,Multiracial,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
11,Economically Disadvantaged,65,52,80%,0,0%,52,80%,0,0%,0,0%,10,15%,0,0%,3,5%
12,Not Economically Disadvantaged,8,7,88%,0,0%,7,88%,0,0%,0,0%,1,13%,0,0%,0,0%
13,English Language Learner,3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
14,Non-English Language Learner,70,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
15,In Foster Care,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
16,Not in Foster Care,71,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
17,Homeless,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
18,Not Homeless,71,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
19,Migrant,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
20,Not Migrant,73,59,81%,0,0%,59,81%,0,0%,0,0%,11,15%,0,0%,3,4%
21,Parent in Armed Forces,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
22,Parent Not in Armed Forces,73,59,81%,0,0%,59,81%,0,0%,0,0%,11,15%,0,0%,3,4%
