,Subgroup,Total,GRAD RATE,GRAD RATE,REGENTS WITH ADVANCED DESIGNATION,REGENTS WITH ADVANCED DESIGNATION,REGENTS DIPLOMA,REGENTS DIPLOMA,LOCAL DIPLOMA,LOCAL DIPLOMA,NON DIPLOMA CRED,NON DIPLOMA CRED,STILL ENROLLED,STILL ENROLLED,GED TRANSFER,GED TRANSFER,DROPOUT,DROPOUT
,Subgroup,Total,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%
0,All Students,72,49,68%,0,0%,49,68%,0,0%,0,0%,15,21%,0,0%,8,11%
1,Female,31,23,74%,0,0%,23,74%,0,0%,0,0%,6,19%,0,0%,2,6%
2,Male,41,26,63%,0,0%,26,63%,0,0%,0,0%,9,22%,0,0%,6,15%
3,General Education Students,71,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
4,Students with Disabilities,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
5,American Indian or Alaska Native,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
6,Asian or Native Hawaiian/Other Pacific Islander,14,12,86%,0,0%,12,86%,0,0%,0,0%,2,14%,0,0%,0,0%
7,Black or African American,9,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
8,Hispanic or Latino,39,24,62%,0,0%,24,62%,0,0%,0,0%,8,21%,0,0%,7,18%
9,White,9,6,67%,0,0%,6,67%,0,0%,0,0%,2,22%,0,0%,1,11%
10,Multiracial,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
11,Economically Disadvantaged,56,37,66%,0,0%,37,66%,0,0%,0,0%,12,21%,0,0%,7,13%
12,Not Economically Disadvantaged,16,12,75%,0,0%,12,75%,0,0%,0,0%,3,19%,0,0%,1,6%
13,English Language Learner,39,21,54%,0,0%,21,54%,0,0%,0,0%,11,28%,0,0%,7,18%
14,Non-English Language Learner,33,28,85%,0,0%,28,85%,0,0%,0,0%,4,12%,0,0%,1,3%
15,In Foster Care,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
16,Not in Foster Care,72,49,68%,0,0%,49,68%,0,0%,0,0%,15,21%,0,0%,8,11%
17,Homeless,14,9,64%,0,0%,9,64%,0,0%,0,0%,1,7%,0,0%,4,29%
18,Not Homeless,58,40,69%,0,0%,40,69%,0,0%,0,0%,14,24%,0,0%,4,7%
19,Migrant,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
20,Not Migrant,72,49,68%,0,0%,49,68%,0,0%,0,0%,15,21%,0,0%,8,11%
21,Parent in Armed Forces,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
22,Parent Not in Armed Forces,72,49,68%,0,0%,49,68%,0,0%,0,0%,15,21%,0,0%,8,11%
