,Subgroup,Total,GRAD RATE,GRAD RATE,REGENTS WITH ADVANCED DESIGNATION,REGENTS WITH ADVANCED DESIGNATION,REGENTS DIPLOMA,REGENTS DIPLOMA,LOCAL DIPLOMA,LOCAL DIPLOMA,NON DIPLOMA CRED,NON DIPLOMA CRED,STILL ENROLLED,STILL ENROLLED,GED TRANSFER,GED TRANSFER,DROPOUT,DROPOUT
,Subgroup,Total,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%
0,All Students,102,64,63%,0,0%,64,63%,0,0%,0,0%,30,29%,1,1%,7,7%
1,Female,52,37,71%,0,0%,37,71%,0,0%,0,0%,13,25%,0,0%,2,4%
2,Male,50,27,54%,0,0%,27,54%,0,0%,0,0%,17,34%,1,2%,5,10%
3,General Education Students,77,51,66%,0,0%,51,66%,0,0%,0,0%,21,27%,0,0%,5,6%
4,Students with Disabilities,25,13,52%,0,0%,13,52%,0,0%,0,0%,9,36%,1,4%,2,8%
5,American Indian or Alaska Native,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
6,Asian or Native Hawaiian/Other Pacific Islander,5,3,60%,0,0%,3,60%,0,0%,0,0%,2,40%,0,0%,0,0%
7,Black or African American,30,22,73%,0,0%,22,73%,0,0%,0,0%,6,20%,0,0%,2,7%
8,Hispanic or Latino,60,34,57%,0,0%,34,57%,0,0%,0,0%,21,35%,1,2%,4,7%
9,White,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10,Multiracial,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
11,Economically Disadvantaged,72,39,54%,0,0%,39,54%,0,0%,0,0%,26,36%,1,1%,6,8%
12,Not Economically Disadvantaged,30,25,83%,0,0%,25,83%,0,0%,0,0%,4,13%,0,0%,1,3%
13,English Language Learner,3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
14,Non-English Language Learner,99,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
15,In Foster Care,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
16,Not in Foster Care,102,64,63%,0,0%,64,63%,0,0%,0,0%,30,29%,1,1%,7,7%
17,Homeless,5,2,40%,0,0%,2,40%,0,0%,0,0%,2,40%,0,0%,1,20%
18,Not Homeless,97,62,64%,0,0%,62,64%,0,0%,0,0%,28,29%,1,1%,6,6%
19,Migrant,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
20,Not Migrant,102,64,63%,0,0%,64,63%,0,0%,0,0%,30,29%,1,1%,7,7%
21,Parent in Armed Forces,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
22,Parent Not in Armed Forces,102,64,63%,0,0%,64,63%,0,0%,0,0%,30,29%,1,1%,7,7%
