,Subgroup,Total,GRAD RATE,GRAD RATE,REGENTS WITH ADVANCED DESIGNATION,REGENTS WITH ADVANCED DESIGNATION,REGENTS DIPLOMA,REGENTS DIPLOMA,LOCAL DIPLOMA,LOCAL DIPLOMA,NON DIPLOMA CRED,NON DIPLOMA CRED,STILL ENROLLED,STILL ENROLLED,GED TRANSFER,GED TRANSFER,DROPOUT,DROPOUT
,Subgroup,Total,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%
0,All Students,382,368,96%,0,0%,368,96%,0,0%,0,0%,11,3%,0,0%,3,1%
1,Female,234,222,95%,0,0%,222,95%,0,0%,0,0%,9,4%,0,0%,3,1%
2,Male,148,146,99%,0,0%,146,99%,0,0%,0,0%,2,1%,0,0%,0,0%
3,General Education Students,351,338,96%,0,0%,338,96%,0,0%,0,0%,11,3%,0,0%,2,1%
4,Students with Disabilities,31,30,97%,0,0%,30,97%,0,0%,0,0%,0,0%,0,0%,1,3%
5,American Indian or Alaska Native,7,6,86%,0,0%,6,86%,0,0%,0,0%,1,14%,0,0%,0,0%
6,Asian or Native Hawaiian/Other Pacific Islander,34,33,97%,0,0%,33,97%,0,0%,0,0%,0,0%,0,0%,1,3%
7,Black or African American,57,56,98%,0,0%,56,98%,0,0%,0,0%,1,2%,0,0%,0,0%
8,Hispanic or Latino,81,77,95%,0,0%,77,95%,0,0%,0,0%,3,4%,0,0%,1,1%
9,White,155,152,98%,0,0%,152,98%,0,0%,0,0%,3,2%,0,0%,0,0%
10,Multiracial,48,44,92%,0,0%,44,92%,0,0%,0,0%,3,6%,0,0%,1,2%
11,Economically Disadvantaged,112,106,95%,0,0%,106,95%,0,0%,0,0%,5,4%,0,0%,1,1%
12,Not Economically Disadvantaged,270,262,97%,0,0%,262,97%,0,0%,0,0%,6,2%,0,0%,2,1%
13,English Language Learner,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
14,Non-English Language Learner,382,368,96%,0,0%,368,96%,0,0%,0,0%,11,3%,0,0%,3,1%
15,In Foster Care,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
16,Not in Foster Care,382,368,96%,0,0%,368,96%,0,0%,0,0%,11,3%,0,0%,3,1%
17,Homeless,3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
18,Not Homeless,379,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
19,Migrant,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
20,Not Migrant,382,368,96%,0,0%,368,96%,0,0%,0,0%,11,3%,0,0%,3,1%
21,Parent in Armed Forces,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
22,Parent Not in Armed Forces,382,368,96%,0,0%,368,96%,0,0%,0,0%,11,3%,0,0%,3,1%
