,Subgroup,Total,GRAD RATE,GRAD RATE,REGENTS WITH ADVANCED DESIGNATION,REGENTS WITH ADVANCED DESIGNATION,REGENTS DIPLOMA,REGENTS DIPLOMA,LOCAL DIPLOMA,LOCAL DIPLOMA,NON DIPLOMA CRED,NON DIPLOMA CRED,STILL ENROLLED,STILL ENROLLED,GED TRANSFER,GED TRANSFER,DROPOUT,DROPOUT
,Subgroup,Total,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%
0,All Students,95,93,98%,0,0%,93,98%,0,0%,0,0%,1,1%,0,0%,1,1%
1,Female,68,67,99%,0,0%,67,99%,0,0%,0,0%,1,1%,0,0%,0,0%
2,Male,27,26,96%,0,0%,26,96%,0,0%,0,0%,0,0%,0,0%,1,4%
3,General Education Students,68,66,97%,0,0%,66,97%,0,0%,0,0%,1,1%,0,0%,1,1%
4,Students with Disabilities,27,27,100%,0,0%,27,100%,0,0%,0,0%,0,0%,0,0%,0,0%
5,American Indian or Alaska Native,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
6,Asian or Native Hawaiian/Other Pacific Islander,8,8,100%,0,0%,8,100%,0,0%,0,0%,0,0%,0,0%,0,0%
7,Black or African American,26,26,100%,0,0%,26,100%,0,0%,0,0%,0,0%,0,0%,0,0%
8,Hispanic or Latino,42,41,98%,0,0%,41,98%,0,0%,0,0%,0,0%,0,0%,1,2%
9,White,10,10,100%,0,0%,10,100%,0,0%,0,0%,0,0%,0,0%,0,0%
10,Multiracial,7,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
11,Economically Disadvantaged,63,61,97%,0,0%,61,97%,0,0%,0,0%,1,2%,0,0%,1,2%
12,Not Economically Disadvantaged,32,32,100%,0,0%,32,100%,0,0%,0,0%,0,0%,0,0%,0,0%
13,English Language Learner,3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
14,Non-English Language Learner,92,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
15,In Foster Care,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
16,Not in Foster Care,95,93,98%,0,0%,93,98%,0,0%,0,0%,1,1%,0,0%,1,1%
17,Homeless,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
18,Not Homeless,93,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
19,Migrant,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
20,Not Migrant,95,93,98%,0,0%,93,98%,0,0%,0,0%,1,1%,0,0%,1,1%
21,Parent in Armed Forces,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
22,Parent Not in Armed Forces,95,93,98%,0,0%,93,98%,0,0%,0,0%,1,1%,0,0%,1,1%
