,Subgroup,Total,GRAD RATE,GRAD RATE,REGENTS WITH ADVANCED DESIGNATION,REGENTS WITH ADVANCED DESIGNATION,REGENTS DIPLOMA,REGENTS DIPLOMA,LOCAL DIPLOMA,LOCAL DIPLOMA,NON DIPLOMA CRED,NON DIPLOMA CRED,STILL ENROLLED,STILL ENROLLED,GED TRANSFER,GED TRANSFER,DROPOUT,DROPOUT
,Subgroup,Total,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%
0,All Students,80294,62636,78%,27739,35%,34114,42%,783,1%,235,0%,13020,16%,603,1%,3751,5%
1,Female,38739,32341,83%,15447,40%,16523,43%,371,1%,91,0%,4831,12%,225,1%,1242,3%
2,Male,41555,30295,73%,12292,30%,17591,42%,412,1%,144,0%,8189,20%,378,1%,2509,6%
3,General Education Students,62760,53154,85%,26261,42%,26698,43%,195,0%,4,0%,6642,11%,395,1%,2550,4%
4,Students with Disabilities,17534,9482,54%,1478,8%,7416,42%,588,3%,231,1%,6378,36%,208,1%,1201,7%
5,American Indian or Alaska Native,913,707,77%,280,31%,414,45%,13,1%,0,0%,150,16%,14,2%,42,5%
6,Asian or Native Hawaiian/Other Pacific Islander,13154,11658,89%,8156,62%,3484,26%,18,0%,14,0%,1074,8%,54,0%,352,3%
7,Black or African American,20655,15556,75%,4389,21%,10966,53%,201,1%,75,0%,3786,18%,195,1%,1017,5%
8,Hispanic or Latino,31662,23656,75%,8799,28%,14627,46%,230,1%,115,0%,5549,18%,294,1%,2029,6%
9,White,12486,9906,79%,5593,45%,4065,33%,248,2%,28,0%,2218,18%,44,0%,288,2%
10,Multiracial,1424,1153,81%,522,37%,558,39%,73,5%,3,0%,243,17%,2,0%,23,2%
11,Economically Disadvantaged,57636,44949,78%,18706,32%,25978,45%,265,0%,201,0%,9165,16%,475,1%,2803,5%
12,Not Economically Disadvantaged,22658,17687,78%,9033,40%,8136,36%,518,2%,34,0%,3855,17%,128,1%,948,4%
13,English Language Learner,8538,4744,56%,819,10%,3901,46%,24,0%,76,1%,2273,27%,106,1%,1337,16%
14,Non-English Language Learner,71756,57892,81%,26920,38%,30213,42%,759,1%,159,0%,10747,15%,497,1%,2414,3%
15,In Foster Care,433,175,40%,25,6%,148,34%,2,0%,3,1%,149,34%,27,6%,74,17%
16,Not in Foster Care,79861,62461,78%,27714,35%,33966,43%,781,1%,232,0%,12871,16%,576,1%,3677,5%
17,Homeless,5788,3858,67%,1135,20%,2700,47%,23,0%,17,0%,1121,19%,76,1%,710,12%
18,Not Homeless,74506,58778,79%,26604,36%,31414,42%,760,1%,218,0%,11899,16%,527,1%,3041,4%
19,Migrant,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
20,Not Migrant,80294,62636,78%,27739,35%,34114,42%,783,1%,235,0%,13020,16%,603,1%,3751,5%
21,Parent in Armed Forces,11,4,36%,2,18%,2,18%,0,0%,2,18%,5,45%,0,0%,0,0%
22,Parent Not in Armed Forces,80283,62632,78%,27737,35%,34112,42%,783,1%,233,0%,13015,16%,603,1%,3751,5%
